District,State,Total,20&over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
Atlantic,DE,71,40,1,6,1,6,3,5,4,5
Atlantic,E PA,1545,504,33,140,167,210,181,128,94,88
Atlantic,NJ,1316,295,22,63,118,192,200,179,150,97
Central,IL,2758,655,36,170,263,322,358,386,298,270
Central,IA,283,71,10,24,26,28,34,25,25,40
Central,KS,100,30,1,8,9,8,13,8,10,13
Central,MO,492,153,2,19,29,37,58,51,59,84
Central,NE,137,7,1,5,16,17,17,22,27,25
Central,WI,3098,568,38,126,153,401,447,449,377,539
Massachusetts,MA,9816,1368,63,480,986,1347,1501,1484,1231,1356
Michigan,MI,4613,1665,75,266,364,469,442,465,399,468
Mid-American,IN,428,99,3,21,34,37,45,48,48,93
Mid-American,KY,145,53,1,13,10,12,16,11,13,16
Mid-American,OH,1026,338,13,55,70,116,128,134,94,78
Mid-American,W PA,1150,169,19,81,96,122,159,151,186,167
Mid-American,WV,135,24,0,8,8,9,14,11,25,36
Minnesota,MN,12561,1817,68,364,698,1654,2141,2106,1896,1817
New England,CT,2435,358,25,112,195,316,385,398,296,350
New England,ME,1053,175,5,34,95,169,165,129,121,160
New England,NH,1106,184,6,66,118,161,134,147,126,164
New England,RI,732,125,6,29,76,76,88,94,101,137
New England,VT,1319,306,9,38,59,159,191,175,172,210
New York,NY,5344,1059,57,262,472,654,718,765,598,759
Northern Plains,MT,884,450,11,39,67,65,49,63,61,79
Northern Plains,ND,1160,43,11,62,113,152,219,177,188,195
Northern Plains,SD,456,29,7,45,64,58,66,63,53,71
Northern Plains,WY,353,111,3,37,47,27,35,27,27,39
Pacific,AK,1811,925,17,63,108,122,130,121,116,209
Pacific,CA,1825,1042,18,57,111,154,127,136,99,81
Pacific,NV,54,28,0,0,5,3,5,5,6,2
Pacific,OR,198,114,5,8,11,10,9,14,13,14
Pacific,WA,852,479,16,28,39,40,61,60,51,78
Rocky Mountain,AZ,305,118,1,22,29,24,41,24,19,27
Rocky Mountain,CO,2193,1112,34,99,144,165,196,171,154,118
Rocky Mountain,ID,619,327,5,20,33,51,36,54,50,43
Rocky Mountain,NM,189,69,2,10,12,17,20,20,20,19
Rocky Mountain,OK,23,5,0,1,2,6,2,5,2,0
Rocky Mountain,TX,771,429,7,22,48,52,63,57,43,50
Rocky Mountain,UT,391,200,10,14,37,32,37,34,13,14
Southeastern,AL,85,33,3,1,7,6,3,12,4,16
Southeastern,AR,19,6,0,1,1,1,2,1,1,6
Southeastern,DC,176,81,6,6,10,11,13,23,18,8
Southeastern,FL,640,345,14,26,31,45,59,52,39,29
Southeastern,GA,129,54,1,6,5,8,22,20,5,8
Southeastern,LA,45,28,0,0,0,1,1,2,4,9
Southeastern,MD,1023,322,25,51,99,140,137,112,81,56
Southeastern,MS,21,9,0,0,0,1,3,1,4,3
Southeastern,NC,436,186,4,15,29,37,46,44,38,37
Southeastern,SC,57,21,0,4,4,5,5,5,8,5
Southeastern,TN,148,49,3,5,15,17,19,13,11,16
Southeastern,VA,704,262,6,31,57,74,86,77,62,49
Totals,,67230,16940,703,3063,5191,7846,8930,8764,7540,8253
