District,State,Total,20&over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
Atlantic,DE,107,38,2,8,7,11,10,9,8,14
Atlantic,E PA,1623,486,26,124,225,198,183,165,126,90
Atlantic,NJ,1640,302,15,90,144,186,254,229,231,189
Central,IL,3097,740,37,200,281,376,453,444,298,268
Central,IA,332,52,4,24,20,30,42,39,52,69
Central,KS,96,28,1,5,6,8,13,13,14,8
Central,MO,760,161,3,20,42,68,81,125,101,159
Central,NE,221,30,3,17,17,18,32,31,38,35
Central,WI,3555,616,26,94,168,382,446,488,546,789
Massachusetts,MA,10693,1523,69,545,1060,1446,1552,1550,1381,1567
Michigan,MI,5105,1789,80,283,379,428,497,484,504,661
Mid-American,IN,495,111,7,17,25,48,61,64,40,122
Mid-American,KY,125,58,3,3,9,8,10,13,11,10
Mid-American,OH,1143,325,15,54,88,116,157,137,145,106
Mid-American,W PA,1234,192,25,93,112,137,140,155,194,186
Mid-American,WV,122,14,2,1,7,7,15,22,28,26
Minnesota,MN,13580,1900,47,421,764,1617,2136,2259,2162,2274
New England,CT,2427,282,20,110,221,360,410,369,335,320
New England,ME,1211,148,8,58,84,160,189,147,153,264
New England,NH,1107,129,7,73,107,133,163,144,171,180
New England,RI,679,96,9,32,38,67,91,88,100,158
New England,VT,1231,189,5,36,59,162,188,183,170,239
New York,NY,5861,1015,48,288,507,700,733,760,760,1050
Northern Plains,MT,961,485,13,33,67,63,75,71,76,78
Northern Plains,ND,1422,59,5,59,137,190,193,248,242,289
Northern Plains,SD,489,12,2,44,59,70,63,72,75,92
Northern Plains,WY,438,105,9,28,32,47,47,51,53,66
Pacific,AK,1965,921,19,66,103,131,141,153,162,269
Pacific,CA,2517,1111,17,100,167,192,208,264,258,200
Pacific,HI,21,15,0,1,0,0,0,1,2,2
Pacific,NV,67,26,1,1,3,6,11,7,9,3
Pacific,OR,304,154,2,9,6,16,33,36,29,19
Pacific,WA,1180,504,16,32,63,76,95,133,129,132
Rocky Mountain,AZ,580,214,6,22,38,53,52,68,60,67
Rocky Mountain,CO,2431,1077,22,98,155,212,201,224,255,187
Rocky Mountain,ID,721,338,3,35,54,53,66,56,53,63
Rocky Mountain,NM,212,56,0,13,16,21,27,26,17,36
Rocky Mountain,OK,65,8,0,3,3,5,8,6,13,19
Rocky Mountain,TX,882,377,9,23,45,78,81,64,109,96
Rocky Mountain,UT,533,263,9,37,51,57,31,33,24,28
Southeastern,AL,171,38,2,7,3,11,16,18,38,38
Southeastern,AR,38,12,0,1,0,1,1,3,11,9
Southeastern,DC,217,61,1,7,4,17,30,19,31,47
Southeastern,FL,862,356,7,34,48,80,87,59,91,100
Southeastern,GA,142,50,1,5,18,20,15,14,10,9
Southeastern,LA,63,8,0,1,3,5,4,5,10,27
Southeastern,MD,1284,387,17,65,144,153,134,128,140,116
Southeastern,MS,20,4,0,2,2,0,1,3,4,4
Southeastern,NC,513,181,1,19,29,64,55,47,54,63
Southeastern,SC,105,37,1,3,7,11,10,12,13,11
Southeastern,TN,273,63,3,11,19,15,25,40,54,43
Southeastern,VA,912,253,13,60,67,103,94,103,118,101
Totals,,75832,17399,641,3415,5713,8416,9660,9882,9708,10998
