District,State,,Total,,20&over,19,17-18,15-16,,13-14,,11-12,,9-10,7-8,6&U,,
"Atlantic
Atlantic
Atlantic",,"DE
E PA
NJ",,"71
1,545
1,316",,"40
504
295","1
33
22","6
140
63","1
167
118",,"6
210
192",,"3
181
200",,"5
128
179","4
94
150","5
88
97",
"Central
Central
Central
Central
Central
Central",,"IL
IA
KS
MO
NE
WI",,"2,758
283
100
492
137
3,098",,"655
71
30
153
7
568","36
10
1
2
1
38","170
24
8
19
5
126","263
26
9
29
16
153",,"322
28
8
37
17
401",,"358
34
13
58
17
447",,"386
25
8
51
22
449","298
25
10
59
27
377","270
40
13
84
25
539",
Massachusetts,,MA,,"9,816",,"1,368",63,480,986,,"1,347",,"1,501",,"1,484","1,231","1,356",
Michigan,,MI,,"4,613",,"1,665",75,266,364,,469,,442,,465,399,468,
"Mid-American
Mid-American
Mid-American
Mid-American
Mid-American",,"IN
KY
OH
W PA
WV",,"428
145
1,026
1,150
135",,"99
53
338
169
24","3
1
13
19
0","21
13
55
81
8","34
10
70
96
8",,"37
12
116
122
9",,"45
16
128
159
14",,"48
11
134
151
11","48
13
94
186
25","93
16
78
167
36",
Minnesota,,MN,,"12,561",,"1,817",68,364,698,,"1,654",,"2,141",,"2,106","1,896","1,817",
"New England
New England
New England
New England
New England",,"CT
ME
NH
RI
VT",,"2,435
1,053
1,106
732
1,319",,"358
175
184
125
306","25
5
6
6
9","112
34
66
29
38","195
95
118
76
59",,"316
169
161
76
159",,"385
165
134
88
191",,"398
129
147
94
175","296
121
126
101
172","350
160
164
137
210",
New York,,NY,,"5,344",,"1,059",57,262,472,,654,,718,,765,598,759,
"Northern Plains
Northern Plains
Northern Plains
Northern Plains",,"MT
ND
SD
WY",,"884
1,160
456
353",,"450
43
29
111","11
11
7
3","39
62
45
37","67
113
64
47",,"65
152
58
27",,"49
219
66
35",,"63
177
63
27","61
188
53
27","79
195
71
39",
"Pacific
Pacific
Pacific
Pacific
Pacific",,"AK
CA
NV
OR
WA",,"1,811
1,825
54
198
852",,"925
1,042
28
114
479","17
18
0
5
16","63
57
0
8
28","108
111
5
11
39",,"122
154
3
10
40",,"130
127
5
9
61",,"121
136
5
14
60","116
99
6
13
51","209
81
2
14
78",
"Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain",,"AZ
CO
ID
NM
OK
TX
UT",,"305
2,193
619
189
23
771
391",,"118
1,112
327
69
5
429
200","1
34
5
2
0
7
10","22
99
20
10
1
22
14","29
144
33
12
2
48
37",,"24
165
51
17
6
52
32",,"41
196
36
20
2
63
37",,"24
171
54
20
5
57
34","19
154
50
20
2
43
13","27
118
43
19
0
50
14",
"Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern",,"AL
AR
DC
FL
GA
LA
MD
MS
NC
SC
TN
VA",,"85
19
176
640
129
45
1,023
21
436
57
148
704",,"33
6
81
345
54
28
322
9
186
21
49
262","3
0
6
14
1
0
25
0
4
0
3
6","1
1
6
26
6
0
51
0
15
4
5
31","7
1
10
31
5
0
99
0
29
4
15
57",,"6
1
11
45
8
1
140
1
37
5
17
74",,"3
2
13
59
22
1
137
3
46
5
19
86",,"12
1
23
52
20
2
112
1
44
5
13
77","4
1
18
39
5
4
81
4
38
8
11
62","16
6
8
29
8
9
56
3
37
5
16
49",
Totals,,,"67,230",,"16,940",703,"3,063","5,191",,"7,846",,"8,930",,"8,764","7,540","8,253",,
