District,State,Total,20&over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U,
"Atlantic
Atlantic
Atlantic","DE
E PA
NJ",,"107
1,623
1,640","38
486
302","2
26
15","8
124
90","7
225
144","11
198
186","10
183
254","9
165
229","8
126
231","14
90
189"
"Central
Central
Central
Central
Central
Central","IL
IA
KS
MO
NE
WI",,"3,097
332
96
760
221
3,555","740
52
28
161
30
616","37
4
1
3
3
26","200
24
5
20
17
94","281
20
6
42
17
168","376
30
8
68
18
382","453
42
13
81
32
446","444
39
13
125
31
488","298
52
14
101
38
546","268
69
8
159
35
789"
Massachusetts,MA,,"10,693","1,523",69,545,"1,060","1,446","1,552","1,550","1,381","1,567"
Michigan,MI,,"5,105","1,789",80,283,379,428,497,484,504,661
"Mid-American
Mid-American
Mid-American
Mid-American
Mid-American","IN
KY
OH
W PA
WV",,"495
125
1,143
1,234
122","111
58
325
192
14","7
3
15
25
2","17
3
54
93
1","25
9
88
112
7","48
8
116
137
7","61
10
157
140
15","64
13
137
155
22","40
11
145
194
28","122
10
106
186
26"
Minnesota,MN,,"13,580","1,900",47,421,764,"1,617","2,136","2,259","2,162","2,274"
"New England
New England
New England
New England
New England","CT
ME
NH
RI
VT",,"2,427
1,211
1,107
679
1,231","282
148
129
96
189","20
8
7
9
5","110
58
73
32
36","221
84
107
38
59","360
160
133
67
162","410
189
163
91
188","369
147
144
88
183","335
153
171
100
170","320
264
180
158
239"
New York,NY,,"5,861","1,015",48,288,507,700,733,760,760,"1,050"
"Northern Plains
Northern Plains
Northern Plains
Northern Plains","MT
ND
SD
WY",,"961
1,422
489
438","485
59
12
105","13
5
2
9","33
59
44
28","67
137
59
32","63
190
70
47","75
193
63
47","71
248
72
51","76
242
75
53","78
289
92
66"
"Pacific
Pacific
Pacific
Pacific
Pacific
Pacific","AK
CA
HI
NV
OR
WA",,"1,965
2,517
21
67
304
1,180","921
1,111
15
26
154
504","19
17
0
1
2
16","66
100
1
1
9
32","103
167
0
3
6
63","131
192
0
6
16
76","141
208
0
11
33
95","153
264
1
7
36
133","162
258
2
9
29
129","269
200
2
3
19
132"
"Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain","AZ
CO
ID
NM
OK
TX
UT",,"580
2,431
721
212
65
882
533","214
1,077
338
56
8
377
263","6
22
3
0
0
9
9","22
98
35
13
3
23
37","38
155
54
16
3
45
51","53
212
53
21
5
78
57","52
201
66
27
8
81
31","68
224
56
26
6
64
33","60
255
53
17
13
109
24","67
187
63
36
19
96
28"
"Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern","AL
AR
DC
FL
GA
LA
MD
MS
NC
SC
TN
VA",,"171
38
217
862
142
63
1,284
20
513
105
273
912","38
12
61
356
50
8
387
4
181
37
63
253","2
0
1
7
1
0
17
0
1
1
3
13","7
1
7
34
5
1
65
2
19
3
11
60","3
0
4
48
18
3
144
2
29
7
19
67","11
1
17
80
20
5
153
0
64
11
15
103","16
1
30
87
15
4
134
1
55
10
25
94","18
3
19
59
14
5
128
3
47
12
40
103","38
11
31
91
10
10
140
4
54
13
54
118","38
9
47
100
9
27
116
4
63
11
43
101"
Totals,,"75,832","17,399",641,"3,415","5,713","8,416","9,660","9,882","9,708","10,998",
