District,State,Total,20&over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
Atlantic,DE,57,38,1,4,3,4,2,4,1,0
Atlantic,NJ,"1,097",223,10,61,145,178,180,160,82,58
Atlantic,E PA,"1,157",384,20,137,152,167,129,90,57,21
Central,IL,"1,961",419,30,130,228,217,278,284,228,147
Central,IA,184,34,2,12,22,16,27,18,21,32
Central,KS,52,14,1,0,2,5,13,10,5,2
Central,MO,316,96,4,21,28,31,41,47,29,19
Central,NE,85,17,1,7,6,6,7,10,20,11
Central,WI,"3,313",434,34,158,318,432,539,481,418,499
Massachusetts,MA,"7,780",936,32,333,708,"1,045","1,217","1,192","1,145","1,172"
Michigan,MI,"4,612","1,480",85,261,434,535,545,525,387,360
Mid-American,IN,306,107,5,22,21,41,31,24,24,31
Mid-American,KY,137,26,4,19,25,18,22,9,5,9
Mid-American,OH,"1,040",348,8,54,77,119,144,116,91,83
Mid-American,W PA,660,137,20,68,75,81,100,73,59,47
Mid-American,WV,122,15,0,9,16,17,12,15,14,24
Minnkota,MN,"10,702","1,235",58,214,472,"1,293","2,127","2,108","1,840","1,355"
Minnkota,ND,895,30,11,61,100,166,188,131,116,91
Minnkota,SD,351,10,9,40,65,57,53,29,42,46
New England,CT,"2,129",274,12,98,232,333,363,307,270,240
New England,ME,"1,306",183,11,141,214,215,161,112,125,144
New England,NH,"1,184",302,7,50,108,155,151,168,126,117
New England,RI,755,105,7,29,65,94,108,104,111,132
New England,VT,"1,293",309,8,61,107,181,191,149,129,158
New York,NY,"4,562",818,59,214,471,598,655,624,546,577
Pacific,AK,"1,685",787,7,59,83,161,173,172,119,124
Pacific,CA,"1,349",775,28,65,87,110,98,92,67,27
Pacific,HI,3,2,0,0,0,1,0,0,0,0
Pacific,NV,56,20,0,0,7,9,5,7,2,6
Pacific,OR,159,86,4,16,16,7,11,9,6,4
Pacific,WA,739,428,10,35,28,52,59,54,31,42
Rocky Mountain,AZ,285,106,3,10,33,26,46,30,18,13
Rocky Mountain,CO,"2,031","1,019",21,82,152,217,182,159,125,74
Rocky Mountain,ID,448,222,4,17,35,41,43,31,26,29
Rocky Mountain,MT,546,242,7,19,44,48,49,44,42,51
Rocky Mountain,NM,192,65,3,8,15,27,24,16,19,15
Rocky Mountain,OK,20,3,0,2,1,4,5,1,2,2
Rocky Mountain,TX,518,253,2,30,41,72,38,48,21,13
Rocky Mountain,UT,327,167,10,15,36,33,22,23,14,7
Rocky Mountain,WY,272,89,7,23,30,30,23,26,21,23
Southeastern,AL,63,17,2,1,5,9,6,9,11,3
Southeastern,AR,17,7,0,1,2,1,3,1,0,2
Southeastern,DC,101,48,5,5,3,10,12,8,9,1
Southeastern,FL,602,328,8,31,41,49,62,48,23,12
Southeastern,GA,127,55,1,5,11,12,12,11,12,8
Southeastern,LA,18,10,1,1,4,0,0,1,0,1
Southeastern,MD,825,225,13,83,137,101,93,82,59,32
Southeastern,MS,18,3,0,0,0,3,4,7,0,1
Southeastern,NC,332,195,10,6,27,20,27,19,19,9
Southeastern,SC,108,35,1,7,6,5,9,8,10,27
Southeastern,TN,143,48,0,9,15,9,12,10,15,25
Southeastern,VA,510,197,8,39,75,48,49,48,28,18
Totals,,"57,549","13,406",594,"2,773","5,028","7,109","8,351","7,754","6,590","5,944"
