District,State,,Total,20&over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U,
"Atlantic
Atlantic
Atlantic",,"DE
E PA
NJ",,"80
1,534
1,442","42
513
285","3
36
18","6
133
75","4
198
162","7
228
219","4
163
206","9
124
220","4
85
162","1
54
95"
"Central
Central
Central
Central
Central
Central",,"IL
IA
KS
MO
NE
WI",,"2,840
304
98
560
181
3,093","690
67
32
149
19
593","30
12
0
5
7
23","188
17
4
28
10
94","273
34
9
27
24
141","322
30
8
46
23
403","431
36
12
73
24
457","413
28
11
77
28
422","278
32
12
78
23
397","215
48
10
77
23
563"
Massachusetts,,MA,,"10,310","1,494",55,503,979,"1,416","1,558","1,533","1,298","1,474"
Michigan,,MI,,"4,794","1,766",94,275,400,465,447,476,397,474
"Mid-American
Mid-American
Mid-American
Mid-American
Mid-American",,"IN
KY
OH
W PA
WV",,"496
126
1,051
1,136
130","117
51
315
166
16","6
0
21
24
2","24
11
52
59
17","28
10
86
106
2","43
10
116
138
11","54
10
141
145
12","66
12
143
154
15","58
8
105
185
24","100
14
72
159
31"
Minnesota,,MN,,"12,808","1,853",55,392,766,"1,610","2,138","2,103","1,995","1,896"
"New England
New England
New England
New England
New England",,"CT
ME
NH
RI
VT",,"2,423
1,089
1,105
739
1,255","303
177
181
130
251","20
4
12
9
7","114
55
82
42
43","187
108
112
67
53","325
154
149
72
174","401
164
130
80
181","384
131
157
104
183","327
124
118
87
171","362
172
164
148
192"
New York,,NY,,"5,339","1,025",50,243,522,644,754,702,633,766
"Northern Plains
Northern Plains
Northern Plains
Northern Plains",,"MT
ND
SD
WY",,"905
1,236
465
382","455
53
23
102","10
12
5
8","52
49
41
34","45
102
60
45","69
192
63
34","57
215
69
38","83
201
62
41","69
203
69
35","65
209
73
45"
"Pacific
Pacific
Pacific
Pacific
Pacific",,"AK
CA
NV
OR
WA",,"1,865
2,029
72
224
938","909
1,049
31
140
520","22
13
0
1
12","65
76
2
8
27","97
142
7
10
42","120
161
4
6
52","139
177
11
14
77","138
165
7
27
66","121
142
5
11
60","254
104
5
7
82"
"Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain
Rocky Mountain",,"AZ
CO
ID
NM
OK
TX
UT",,"508
2,193
696
205
37
772
427","188
1,096
343
74
14
382
237","9
31
9
2
0
7
3","20
109
31
8
2
37
21","34
138
48
13
6
42
45","40
175
46
19
2
56
28","49
207
57
21
5
74
41","47
157
60
26
5
66
19","50
165
50
23
1
48
19","71
115
52
19
2
60
14"
"Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern
Southeastern",,"AL
AR
DC
FL
GA
LA
MD
MS
NC
SC
TN
VA",,"118
28
179
676
152
39
1,151
13
460
97
174
770","36
11
82
361
57
20
390
5
199
36
65
265","3
0
2
10
3
0
17
0
3
3
0
15","2
1
6
20
6
1
59
0
13
3
10
46","6
2
8
44
9
0
119
0
36
4
15
60","5
0
10
50
16
3
141
2
36
4
19
78","9
2
20
64
14
3
158
0
51
9
15
103","15
3
26
66
17
4
119
2
51
9
20
80","15
4
13
38
14
3
82
2
43
19
17
66","27
5
12
23
16
5
66
2
28
10
13
57"
Totals,,,"69,744","17,378",693,"3,216","5,477","8,044","9,320","9,077","7,988","8,551",
