Year,District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
1992,,WY,42,,,,,,,,,
1993,,AK,525,,,,,,,,,
1993,,AL,21,,,,,,,,,
1993,,AR,3,,,,,,,,,
1993,,AZ,105,,,,,,,,,
1993,,CA,519,,,,,,,,,
1993,,CO,273,,,,,,,,,
1993,,CT,526,,,,,,,,,
1993,,DC,16,,,,,,,,,
1993,,DE,8,,,,,,,,,
1993,,FL,65,,,,,,,,,
1993,,GA,16,,,,,,,,,
1993,,HI,0,,,,,,,,,
1993,,IA,49,,,,,,,,,
1993,,ID,63,,,,,,,,,
1993,,IL,380,,,,,,,,,
1993,,IN,85,,,,,,,,,
1993,,KS,18,,,,,,,,,
1993,,KY,19,,,,,,,,,
1993,,LA,0,,,,,,,,,
1993,,MA,2058,,,,,,,,,
1993,,MD,120,,,,,,,,,
1993,,ME,468,,,,,,,,,
1993,,MI,1287,,,,,,,,,
1993,,MN,1970,,,,,,,,,
1993,,MO,108,,,,,,,,,
1993,,MS,1,,,,,,,,,
1993,,MT,91,,,,,,,,,
1993,,NC,32,,,,,,,,,
1993,,ND,89,,,,,,,,,
1993,,NE,14,,,,,,,,,
1993,,NH,313,,,,,,,,,
1993,,NJ,332,,,,,,,,,
1993,,NM,25,,,,,,,,,
1993,,NV,29,,,,,,,,,
1993,,NY,1684,,,,,,,,,
1993,,OH,296,,,,,,,,,
1993,,OK,9,,,,,,,,,
1993,,OR,62,,,,,,,,,
1993,,PA,294,,,,,,,,,
1993,,RI,212,,,,,,,,,
1993,,SC,5,,,,,,,,,
1993,,SD,33,,,,,,,,,
1993,,TN,22,,,,,,,,,
1993,,TX,38,,,,,,,,,
1993,,UT,41,,,,,,,,,
1993,,VA,53,,,,,,,,,
1993,,VT,315,,,,,,,,,
1993,,WA,260,,,,,,,,,
1993,,WI,712,,,,,,,,,
1993,,WV,123,,,,,,,,,
1993,,WY,54,,,,,,,,,
1994,,AK,593,,,,,,,,,
1994,,AL,36,,,,,,,,,
1994,,AR,3,,,,,,,,,
1994,,AZ,121,,,,,,,,,
1994,,CA,701,,,,,,,,,
1994,,CO,315,,,,,,,,,
1994,,CT,705,,,,,,,,,
1994,,DC,28,,,,,,,,,
1994,,DE,11,,,,,,,,,
1994,,FL,99,,,,,,,,,
1994,,GA,22,,,,,,,,,
1994,,HI,0,,,,,,,,,
1994,,IA,77,,,,,,,,,
1994,,ID,81,,,,,,,,,
1994,,IL,591,,,,,,,,,
1994,,IN,117,,,,,,,,,
1994,,KS,27,,,,,,,,,
1994,,KY,19,,,,,,,,,
1994,,LA,2,,,,,,,,,
1994,,MA,2693,,,,,,,,,
1994,,MD,178,,,,,,,,,
1994,,ME,646,,,,,,,,,
1994,,MI,1776,,,,,,,,,
1994,,MN,2940,,,,,,,,,
1994,,MO,116,,,,,,,,,
1994,,MS,0,,,,,,,,,
1994,,MT,128,,,,,,,,,
1994,,NC,66,,,,,,,,,
1994,,ND,152,,,,,,,,,
1994,,NE,14,,,,,,,,,
1994,,NH,405,,,,,,,,,
1994,,NJ,451,,,,,,,,,
1994,,NM,27,,,,,,,,,
1994,,NV,26,,,,,,,,,
1994,,NY,2085,,,,,,,,,
1994,,OH,417,,,,,,,,,
1994,,OK,17,,,,,,,,,
1994,,OR,73,,,,,,,,,
1994,,PA,505,,,,,,,,,
1994,,RI,291,,,,,,,,,
1994,,SC,15,,,,,,,,,
1994,,SD,66,,,,,,,,,
1994,,TN,31,,,,,,,,,
1994,,TX,65,,,,,,,,,
1994,,UT,54,,,,,,,,,
1994,,VA,88,,,,,,,,,
1994,,VT,417,,,,,,,,,
1994,,WA,340,,,,,,,,,
1994,,WI,1007,,,,,,,,,
1994,,WV,109,,,,,,,,,
1994,,WY,95,,,,,,,,,
1995,,AK,674,,,,,,,,,
1995,,AL,36,,,,,,,,,
1995,,AR,4,,,,,,,,,
1995,,AZ,93,,,,,,,,,
1995,,CA,822,,,,,,,,,
1995,,CO,367,,,,,,,,,
1995,,CT,751,,,,,,,,,
1995,,DC,20,,,,,,,,,
1995,,DE,12,,,,,,,,,
1995,,FL,124,,,,,,,,,
1995,,GA,28,,,,,,,,,
1995,,HI,5,,,,,,,,,
1995,,IA,65,,,,,,,,,
1995,,ID,89,,,,,,,,,
1995,,IL,693,,,,,,,,,
1995,,IN,160,,,,,,,,,
1995,,KS,31,,,,,,,,,
1995,,KY,23,,,,,,,,,
1995,,LA,1,,,,,,,,,
1995,,MA,3208,,,,,,,,,
1995,,MD,182,,,,,,,,,
1995,,ME,435,,,,,,,,,
1995,,MI,2173,,,,,,,,,
1995,,MN,4373,,,,,,,,,
1995,,MO,105,,,,,,,,,
1995,,MS,0,,,,,,,,,
1995,,MT,160,,,,,,,,,
1995,,NC,105,,,,,,,,,
1995,,ND,251,,,,,,,,,
1995,,NE,16,,,,,,,,,
1995,,NH,455,,,,,,,,,
1995,,NJ,495,,,,,,,,,
1995,,NM,36,,,,,,,,,
1995,,NV,16,,,,,,,,,
1995,,NY,2401,,,,,,,,,
1995,,OH,457,,,,,,,,,
1995,,OK,26,,,,,,,,,
1995,,OR,67,,,,,,,,,
1995,,PA,561,,,,,,,,,
1995,,RI,308,,,,,,,,,
1995,,SC,27,,,,,,,,,
1995,,SD,65,,,,,,,,,
1995,,TN,32,,,,,,,,,
1995,,TX,88,,,,,,,,,
1995,,UT,93,,,,,,,,,
1995,,VA,115,,,,,,,,,
1995,,VT,473,,,,,,,,,
1995,,WA,375,,,,,,,,,
1995,,WI,1285,,,,,,,,,
1995,,WV,106,,,,,,,,,
1995,,WY,82,,,,,,,,,
1996,,AK,772,,,,,,,,,
1996,,AL,28,,,,,,,,,
1996,,AR,12,,,,,,,,,
1996,,AZ,108,,,,,,,,,
1996,,CA,820,,,,,,,,,
1996,,CO,431,,,,,,,,,
1996,,CT,818,,,,,,,,,
1996,,DC,28,,,,,,,,,
1996,,DE,11,,,,,,,,,
1996,,FL,201,,,,,,,,,
1996,,GA,18,,,,,,,,,
1996,,HI,3,,,,,,,,,
1996,,IA,108,,,,,,,,,
1996,,ID,108,,,,,,,,,
1996,,IL,861,,,,,,,,,
1996,,IN,153,,,,,,,,,
1996,,KS,29,,,,,,,,,
1996,,KY,24,,,,,,,,,
1996,,LA,4,,,,,,,,,
1996,,MA,3404,,,,,,,,,
1996,,MD,228,,,,,,,,,
1996,,ME,486,,,,,,,,,
1996,,MI,2523,,,,,,,,,
1996,,MN,5098,,,,,,,,,
1996,,MO,93,,,,,,,,,
1996,,MS,3,,,,,,,,,
1996,,MT,168,,,,,,,,,
1996,,NC,82,,,,,,,,,
1996,,ND,307,,,,,,,,,
1996,,NE,19,,,,,,,,,
1996,,NH,506,,,,,,,,,
1996,,NJ,561,,,,,,,,,
1996,,NM,71,,,,,,,,,
1996,,NV,18,,,,,,,,,
1996,,NY,2597,,,,,,,,,
1996,,OH,460,,,,,,,,,
1996,,OK,24,,,,,,,,,
1996,,OR,65,,,,,,,,,
1996,,PA,644,,,,,,,,,
1996,,RI,342,,,,,,,,,
1996,,SC,22,,,,,,,,,
1996,,SD,72,,,,,,,,,
1996,,TN,38,,,,,,,,,
1996,,TX,111,,,,,,,,,
1996,,UT,89,,,,,,,,,
1996,,VA,144,,,,,,,,,
1996,,VT,668,,,,,,,,,
1996,,WA,331,,,,,,,,,
1996,,WI,1340,,,,,,,,,
1996,,WV,94,,,,,,,,,
1996,,WY,108,,,,,,,,,
1997,,AK,862,,,,,,,,,
1997,,AL,25,,,,,,,,,
1997,,AR,11,,,,,,,,,
1997,,AZ,140,,,,,,,,,
1997,,CA,960,,,,,,,,,
1997,,CO,619,,,,,,,,,
1997,,CT,860,,,,,,,,,
1997,,DC,41,,,,,,,,,
1997,,DE,14,,,,,,,,,
1997,,FL,166,,,,,,,,,
1997,,GA,14,,,,,,,,,
1997,,HI,9,,,,,,,,,
1997,,IA,122,,,,,,,,,
1997,,ID,195,,,,,,,,,
1997,,IL,997,,,,,,,,,
1997,,IN,179,,,,,,,,,
1997,,KS,45,,,,,,,,,
1997,,KY,22,,,,,,,,,
1997,,LA,35,,,,,,,,,
1997,,MA,3712,,,,,,,,,
1997,,MD,250,,,,,,,,,
1997,,ME,541,,,,,,,,,
1997,,MI,2615,,,,,,,,,
1997,,MN,5668,,,,,,,,,
1997,,MO,119,,,,,,,,,
1997,,MS,8,,,,,,,,,
1997,,MT,195,,,,,,,,,
1997,,NC,98,,,,,,,,,
1997,,ND,350,,,,,,,,,
1997,,NE,24,,,,,,,,,
1997,,NH,559,,,,,,,,,
1997,,NJ,685,,,,,,,,,
1997,,NM,89,,,,,,,,,
1997,,NV,12,,,,,,,,,
1997,,NY,2865,,,,,,,,,
1997,,OH,486,,,,,,,,,
1997,,OK,27,,,,,,,,,
1997,,OR,64,,,,,,,,,
1997,,PA,708,,,,,,,,,
1997,,RI,343,,,,,,,,,
1997,,SC,18,,,,,,,,,
1997,,SD,85,,,,,,,,,
1997,,TN,33,,,,,,,,,
1997,,TX,200,,,,,,,,,
1997,,UT,122,,,,,,,,,
1997,,VA,165,,,,,,,,,
1997,,VT,767,,,,,,,,,
1997,,WA,354,,,,,,,,,
1997,,WI,1643,,,,,,,,,
1997,,WV,87,,,,,,,,,
1997,,WY,138,,,,,,,,,
1998,,AK,915,,,,,,,,,
1998,,AL,39,,,,,,,,,
1998,,AR,8,,,,,,,,,
1998,,AZ,189,,,,,,,,,
1998,,CA,1001,,,,,,,,,
1998,,CO,844,,,,,,,,,
1998,,CT,1010,,,,,,,,,
1998,,DC,41,,,,,,,,,
1998,,DE,37,,,,,,,,,
1998,,FL,222,,,,,,,,,
1998,,GA,18,,,,,,,,,
1998,,HI,12,,,,,,,,,
1998,,IA,111,,,,,,,,,
