Year,District,State,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2007,Rocky Mountain,OK,14,14,0,-2,2,-1,-4,3,2,0
2007,Rocky Mountain,TX,77,47,2,3,15,-19,13,7,0,9
2007,Rocky Mountain,UT,42,29,-2,15,-3,0,-7,7,0,3
2007,Southeastern,AL,37,29,-2,4,0,-3,2,7,-1,1
2007,Southeastern,AR,1,2,0,0,-2,1,-1,0,2,-1
2007,Southeastern,DC,1,-3,-3,4,1,6,-3,2,-3,0
2007,Southeastern,FL,28,6,2,7,1,0,-1,-21,2,32
2007,Southeastern,GA,29,8,1,2,-1,6,3,5,0,5
2007,Southeastern,LA,18,11,0,2,-2,0,2,2,0,3
2007,Southeastern,MD,-37,13,0,-10,-8,3,-5,-16,-5,-9
2007,Southeastern,MS,2,-1,0,0,0,1,1,-5,1,5
2007,Southeastern,NC,23,10,-8,14,0,12,-4,9,-8,-2
2007,Southeastern,SC,-23,1,0,-3,0,5,0,-3,-1,-22
2007,Southeastern,TN,-7,5,1,3,-2,4,-2,0,-4,-12
2007,Southeastern,VA,39,17,0,5,-19,7,3,6,16,4
2008,Atlantic,DE,5,0,-3,0,2,-5,2,-1,2,8
2008,Atlantic,NJ,-74,-6,4,-20,-9,0,3,-22,-3,-21
2008,Atlantic,E PA,41,-29,9,-7,18,-20,5,-10,31,44
2008,Central,IL,-14,-21,-9,27,-18,32,-40,16,-18,17
2008,Central,IA,-15,-12,0,0,4,9,-4,-5,-10,3
2008,Central,KS,7,6,0,-1,1,2,0,-7,1,5
2008,Central,MO,19,-9,-2,9,-7,11,-7,-11,11,24
2008,Central,NE,-9,2,0,-1,0,7,-3,-4,-3,-7
2008,Central,WI,-197,-77,-1,-5,-52,-9,-24,11,-49,9
2008,Massachusetts,MA,277,-121,-2,-5,45,41,38,-2,159,124
2008,Michigan,MI,-119,-134,-3,-19,6,-54,-43,-13,-5,146
2008,Mid-American,WV,10,-4,1,2,4,-4,2,-5,4,10
2008,Mid-American,W PA,84,-23,9,0,16,0,6,11,21,44
2008,Mid-American,IN,32,-35,-2,10,4,15,16,7,3,14
2008,Mid-American,KY,5,-11,-1,3,-4,1,-1,6,2,10
2008,Mid-American,OH,-34,-35,-3,2,7,5,-20,-12,2,20
2008,Minnesota,MN,224,-42,-5,18,-12,86,41,-3,-7,148
2008,New England,CT,63,-12,14,5,-12,-17,-11,3,-1,94
2008,New England,ME,-49,9,7,-36,-44,0,-4,6,-2,15
2008,New England,NH,-72,-47,6,-4,-11,30,7,-29,-26,2
2008,New England,RI,-54,-17,3,-3,5,-2,1,-7,-14,-20
2008,New England,VT,61,-16,2,9,25,-19,0,5,-1,56
2008,New York,NY,273,52,0,-23,63,-3,-2,104,27,55
2008,Northern Plains,SD,-22,11,2,-8,-11,2,-15,1,-4,0
2008,Northern Plains,WY,-20,-6,-2,-4,-1,0,-7,-12,-1,13
2008,Northern Plains,MT,-4,-6,3,1,-3,-1,19,-3,-5,-9
2008,Northern Plains,ND,-15,-12,-2,7,-16,-6,-15,8,6,15
2008,Pacific,WA,-33,-27,-7,-6,16,0,-2,-18,0,11
2008,Pacific,OR,-28,-32,1,-1,2,-1,0,-3,-2,8
2008,Pacific,HI,-2,0,0,-2,0,0,0,0,0,0
2008,Pacific,CA,-102,-36,-5,-23,-7,-8,-2,-8,-10,-3
2008,Pacific,AK,82,46,2,-17,40,-2,-19,3,18,11
2008,Pacific,NV,0,-8,0,0,0,7,-1,6,-2,-2
2008,Rocky Mountain,TX,-49,-32,5,-6,-8,-12,13,-17,7,1
2008,Rocky Mountain,OK,5,-1,0,2,5,0,1,0,-1,-1
2008,Rocky Mountain,UT,-33,-16,-4,-8,-4,-15,11,2,0,1
2008,Rocky Mountain,ID,-31,-12,0,12,-9,1,-15,8,-11,-5
2008,Rocky Mountain,CO,-21,-10,-1,19,-9,-25,17,-9,-15,12
2008,Rocky Mountain,AZ,34,32,1,7,-11,-1,-21,-6,-2,35
2008,Rocky Mountain,NM,-26,-8,-1,0,-5,-10,-3,0,-5,6
2008,Southeastern,VA,11,-11,1,13,0,-1,5,4,-14,14
2008,Southeastern,TN,-17,-16,1,-5,-2,2,1,6,0,-4
2008,Southeastern,SC,-19,-8,0,-2,-3,-1,-4,0,-4,3
2008,Southeastern,NC,-2,-15,1,-5,-3,-5,-5,9,7,14
2008,Southeastern,MS,-8,-1,0,0,2,-2,-3,-1,0,-3
2008,Southeastern,LA,-12,-8,-1,0,-2,1,-1,-3,2,0
2008,Southeastern,GA,-25,-17,1,-1,0,-3,-2,3,-1,-5
2008,Southeastern,FL,-71,-27,2,-20,-14,-3,-15,5,-3,4
2008,Southeastern,AR,-5,-3,0,0,0,-2,-1,0,0,1
2008,Southeastern,AL,-21,-14,1,-2,2,0,0,-5,-5,2
2008,Southeastern,MD,29,-1,10,18,6,-9,-11,7,-1,10
2008,Southeastern,DC,17,13,2,-2,7,0,-2,1,-2,0
2009,Atlantic,DE,0,7,1,-1,1,2,-2,1,-1,-8
2009,Atlantic,E PA,-17,59,-13,1,-24,5,-14,21,-22,-30
2009,Atlantic,NJ,18,16,-4,16,-2,-13,-14,32,-15,2
2009,Central,IL,194,84,21,-8,1,8,11,-2,46,33
2009,Central,IA,33,19,0,7,7,-1,-2,4,3,-4
2009,Central,KS,13,9,1,2,4,0,-3,1,1,-2
2009,Central,MO,-16,17,5,-8,0,2,-15,8,-3,-22
2009,Central,NE,14,11,1,5,-1,-2,1,-6,-1,6
2009,Central,WI,82,63,2,10,24,-21,-18,25,5,-8
2009,Massachusetts,MA,507,170,4,52,83,-37,107,67,-21,82
2009,Michigan,MI,56,126,19,17,17,-33,-17,35,-39,-69
2009,Mid-American,WV,11,4,0,1,-6,0,3,5,7,-3
2009,Mid-American,W PA,49,22,-9,-1,1,-5,11,7,22,1
2009,Mid-American,IN,40,30,-1,11,0,-2,17,-16,8,-7
2009,Mid-American,KY,11,11,1,0,6,-4,0,-3,6,-6
2009,Mid-American,OH,5,20,3,7,8,-28,-6,17,-12,-4
2009,Minnesota,MN,537,129,3,15,72,54,136,-1,-7,136
2009,New England,CT,59,51,-3,7,10,-17,-19,32,24,-26
2009,New England,ME,-5,30,-4,-2,3,-58,26,2,11,-13
2009,New England,NH,-8,-3,-3,0,-11,17,-24,12,-15,19
2009,New England,RI,18,19,4,5,2,-23,18,-27,-1,21
2009,New England,VT,-57,-17,2,-1,-28,0,-8,-4,6,-7
2009,New York,NY,264,167,30,14,-9,-26,36,-28,15,65
2009,Northern Plains,SD,12,-4,-4,7,9,-9,7,8,2,-4
2009,Northern Plains,WY,1,-4,-1,5,-9,4,2,5,12,-13
2009,Northern Plains,MT,93,51,5,-6,16,11,8,13,-8,3
2009,Northern Plains,ND,-6,16,6,5,4,-36,15,4,-23,3
2009,Pacific,WA,36,18,11,-2,14,-11,2,1,7,-4
2009,Pacific,OR,15,25,2,-1,-3,1,2,-3,2,-10
2009,Pacific,HI,0,0,0,0,0,0,0,0,0,0
2009,Pacific,CA,42,16,-8,19,-11,-5,14,1,9,7
2009,Pacific,AK,15,2,1,20,-15,11,-9,4,-19,20
2009,Pacific,NV,2,-4,0,4,4,-8,1,-3,5,3
2009,Rocky Mountain,TX,41,42,-2,5,-1,-1,-9,8,0,-1
2009,Rocky Mountain,OK,0,2,0,1,-6,0,1,1,2,-1
2009,Rocky Mountain,UT,19,13,5,3,-2,0,6,1,-5,-2
2009,Rocky Mountain,ID,84,40,3,-4,4,-10,30,14,3,4
2009,Rocky Mountain,CO,-31,-43,3,35,-20,-18,-30,7,26,9
2009,Rocky Mountain,AZ,-97,-45,-1,1,-6,2,-5,-6,-9,-28
2009,Rocky Mountain,NM,12,3,2,-2,-7,2,0,6,6,2
2009,Southeastern,VA,-26,-18,10,-25,3,-1,1,5,7,-8
2009,Southeastern,TN,4,2,3,-4,3,-9,3,8,-3,1
2009,Southeastern,SC,-7,-9,-1,-1,3,2,0,2,1,-4
2009,Southeastern,NC,30,-6,2,2,4,-3,23,0,13,-5
2009,Southeastern,MS,4,5,0,0,2,-2,1,-1,0,-1
2009,Southeastern,LA,10,5,1,-1,0,1,-1,2,3,0
2009,Southeastern,GA,-33,-26,-1,0,1,-2,-4,-1,-2,2
2009,Southeastern,FL,18,23,1,4,6,5,-18,0,14,-17
2009,Southeastern,AR,6,4,2,-1,1,2,0,1,-2,-1
2009,Southeastern,AL,4,5,0,2,1,-1,-2,-2,-3,4
2009,Southeastern,MD,45,35,-5,-1,-2,-4,13,9,4,-4
2009,Southeastern,DC,5,1,2,0,0,-7,3,-1,3,4
2010,Atlantic,DE,1,1,-1,4,-3,1,0,2,-2,-1
2010,Atlantic,E PA,123,41,15,4,22,-7,14,29,0,5
2010,Atlantic,NJ,38,-6,12,-26,-30,-2,2,22,25,41
2010,Central,IL,260,44,-3,13,29,-9,53,53,48,32
2010,Central,IA,10,8,1,-2,2,-10,9,-5,3,4
2010,Central,KS,22,-4,-1,1,2,-1,4,6,9,6
2010,Central,MO,52,27,-5,-1,8,-6,7,6,12,4
2010,Central,NE,30,-4,-1,-4,5,-3,9,0,14,14
2010,Central,WI,132,94,7,-19,5,-38,6,3,48,26
2010,Massachusetts,MA,552,195,10,-11,2,59,-41,73,81,184
2010,Michigan,MI,454,209,13,10,-40,27,46,58,54,77
2010,Mid-American,WV,-3,-2,0,-4,0,4,-10,2,-3,10
2010,Mid-American,W PA,251,10,8,8,21,-1,8,21,50,126
2010,Mid-American,IN,-7,8,0,-4,1,-5,-18,8,1,2
2010,Mid-American,KY,-2,4,1,-2,2,0,2,4,-5,-8
2010,Mid-American,OH,42,36,-2,6,-2,-11,8,-8,14,1
2010,Minnesota,MN,323,101,-7,-5,22,20,20,-48,78,142
2010,New England,CT,14,49,6,-17,-20,-22,10,15,-7,0
2010,New England,ME,63,14,5,-11,-14,11,8,14,6,30
2010,New England,NH,12,3,4,11,9,0,-12,-17,6,8
2010,New England,RI,-5,1,-3,4,-7,3,-1,7,-5,-4
2010,New England,VT,101,-2,3,1,13,7,10,15,9,45
2010,New York,NY,270,61,-16,38,-15,-11,70,16,75,52
2010,Northern Plains,SD,53,-3,2,8,6,-5,9,12,14,10
2010,Northern Plains,WY,34,-3,1,5,8,11,10,-2,1,3
2010,Northern Plains,MT,95,62,-3,11,-1,3,-12,15,1,19
2010,Northern Plains,ND,139,17,-1,-4,6,-11,26,41,29,36
2010,Pacific,WA,35,33,-11,5,-3,-2,-18,15,9,7
2010,Pacific,OR,-6,-5,-2,0,-2,0,-2,-3,3,5
2010,Pacific,HI,0,0,0,0,0,0,0,0,0,0
2010,Pacific,CA,269,143,14,12,4,22,15,15,17,27
2010,Pacific,AK,103,96,-3,2,6,-22,-20,10,14,20
2010,Pacific,NV,15,5,2,-1,-2,7,2,-2,4,0
2010,Rocky Mountain,TX,116,63,1,9,-10,28,-4,9,10,10
2010,Rocky Mountain,OK,-1,-4,2,-1,1,0,4,-4,-1,2
2010,Rocky Mountain,UT,13,7,-1,-4,-8,8,2,-4,7,6
2010,Rocky Mountain,ID,-6,-12,3,-3,-4,11,1,-14,6,6
2010,Rocky Mountain,CO,78,76,-1,-29,-11,6,10,15,7,5
2010,Rocky Mountain,AZ,28,10,3,-9,5,-1,0,8,8,4
2010,Rocky Mountain,NM,37,16,2,-2,2,-1,10,-2,10,2
2010,Southeastern,VA,65,45,-14,1,-10,5,12,-8,17,17
2010,Southeastern,TN,14,-9,-3,5,-2,7,3,-6,5,14
2010,Southeastern,SC,20,7,1,2,3,-1,3,-4,5,4
2010,Southeastern,NC,20,3,0,-3,2,5,-4,7,0,10
2010,Southeastern,MS,1,1,0,1,-3,1,-1,3,0,-1
2010,Southeastern,LA,-5,-5,0,0,0,-1,1,0,-2,2
2010,Southeastern,GA,56,35,0,-1,6,-2,8,2,10,-2
2010,Southeastern,FL,32,10,-2,3,7,-14,10,23,0,-5
2010,Southeastern,AR,5,0,-2,1,0,1,0,2,0,3
