Year,State,Total
1991,AK,69.41747572815534
1991,AL,100.0
1991,AR,0.0
1991,AZ,106.66666666666667
1991,CA,41.80327868852459
1991,CO,96.80851063829788
1991,CT,44.31818181818182
1991,DC,-44.44444444444444
1991,DE,-22.22222222222222
1991,FL,266.66666666666663
1991,GA,14.285714285714285
1991,HI,-100.0
1991,IA,57.14285714285714
1991,ID,72.22222222222221
1991,IL,18.181818181818183
1991,IN,77.5
1991,KS,66.66666666666666
1991,KY,-65.625
1991,LA,inf
1991,MA,16.32492113564669
1991,MD,32.142857142857146
1991,ME,402.17391304347825
1991,MI,20.81967213114754
1991,MN,13.215400624349636
1991,MO,7.894736842105263
1991,MS,
1991,MT,66.66666666666666
1991,NC,81.25
1991,ND,22.727272727272727
1991,NE,33.33333333333333
1991,NH,107.27272727272728
1991,NJ,14.04494382022472
1991,NM,-28.57142857142857
1991,NV,50.0
1991,NY,28.880407124681934
1991,OH,-40.64171122994652
1991,OK,0.0
1991,OR,-2.564102564102564
1991,PA,10.256410256410255
1991,RI,17.56756756756757
1991,SC,inf
1991,SD,78.57142857142857
1991,TN,-11.11111111111111
1991,TX,28.57142857142857
1991,UT,0.0
1991,VA,-26.08695652173913
1991,VT,38.775510204081634
1991,WA,5.714285714285714
1991,WI,84.5771144278607
1991,WV,21.951219512195124
1991,WY,0.0
1992,AK,14.326647564469914
1992,AL,25.0
1992,AR,0.0
1992,AZ,103.2258064516129
1992,CA,60.115606936416185
1992,CO,-3.783783783783784
1992,CT,10.236220472440944
1992,DC,60.0
1992,DE,-14.285714285714285
1992,FL,40.909090909090914
1992,GA,0.0
1992,HI,inf
1992,IA,-4.545454545454546
1992,ID,167.74193548387098
1992,IL,27.601809954751133
1992,IN,-12.676056338028168
1992,KS,0.0
1992,KY,100.0
1992,LA,-100.0
1992,MA,17.28813559322034
1992,MD,5.405405405405405
1992,ME,4.978354978354979
1992,MI,28.493894165535956
1992,MN,16.360294117647058
1992,MO,43.90243902439025
1992,MS,
1992,MT,46.666666666666664
1992,NC,34.48275862068966
1992,ND,50.0
1992,NE,62.5
1992,NH,23.684210526315788
1992,NJ,37.4384236453202
1992,NM,140.0
1992,NV,100.0
1992,NY,27.245804540967423
1992,OH,68.46846846846847
1992,OK,0.0
1992,OR,5.263157894736842
1992,PA,41.08527131782946
1992,RI,22.988505747126435
1992,SC,100.0
1992,SD,24.0
1992,TN,0.0
1992,TX,33.33333333333333
1992,UT,3.571428571428571
1992,VA,58.82352941176471
1992,VT,84.55882352941177
1992,WA,89.1891891891892
1992,WI,44.20485175202156
1992,WV,19.0
1992,WY,55.55555555555556
1993,AK,31.57894736842105
1993,AL,110.00000000000001
1993,AR,200.0
1993,AZ,66.66666666666666
1993,CA,87.36462093862815
1993,CO,53.37078651685393
1993,CT,25.238095238095237
1993,DC,0.0
1993,DE,33.33333333333333
1993,FL,109.6774193548387
1993,GA,100.0
1993,HI,-100.0
1993,IA,133.33333333333331
1993,ID,-24.096385542168676
1993,IL,34.751773049645394
1993,IN,37.096774193548384
1993,KS,260.0
1993,KY,-13.636363636363635
1993,LA,
1993,MA,18.959537572254334
1993,MD,53.84615384615385
1993,ME,-3.5051546391752577
1993,MI,35.90285110876452
1993,MN,55.60821484992101
1993,MO,83.05084745762711
1993,MS,inf
1993,MT,106.81818181818181
1993,NC,-17.94871794871795
1993,ND,9.876543209876543
1993,NE,7.6923076923076925
1993,NH,10.99290780141844
1993,NJ,18.996415770609318
1993,NM,4.166666666666666
1993,NV,141.66666666666669
1993,NY,30.643910007757952
1993,OH,58.288770053475936
1993,OK,350.0
1993,OR,55.00000000000001
1993,PA,61.53846153846154
1993,RI,-0.9345794392523363
1993,SC,150.0
1993,SD,6.451612903225806
1993,TN,175.0
1993,TX,58.333333333333336
1993,UT,41.37931034482759
1993,VA,96.29629629629629
1993,VT,25.49800796812749
1993,WA,23.809523809523807
1993,WI,33.084112149532714
1993,WV,3.361344537815126
1993,WY,28.57142857142857
1994,AK,12.95238095238095
1994,AL,71.42857142857143
1994,AR,0.0
1994,AZ,15.238095238095239
1994,CA,35.067437379576106
1994,CO,15.384615384615385
1994,CT,34.030418250950575
1994,DC,75.0
1994,DE,37.5
1994,FL,52.307692307692314
1994,GA,37.5
1994,HI,
1994,IA,57.14285714285714
1994,ID,28.57142857142857
1994,IL,55.52631578947368
1994,IN,37.64705882352941
1994,KS,50.0
1994,KY,0.0
1994,LA,inf
1994,MA,30.855199222546158
1994,MD,48.333333333333336
1994,ME,38.034188034188034
1994,MI,37.995337995338
1994,MN,49.23857868020304
1994,MO,7.4074074074074066
1994,MS,-100.0
1994,MT,40.65934065934066
