Year,District,Total,20&Over,19,17-18,15-16,13-14,11-12,9-10,7-8,6&U
2008,Atlantic,-1.1359026369168357,-4.9928673323823105,22.727272727272727,-10.975609756097562,3.4161490683229814,-7.462686567164178,3.3783783783783785,-13.580246913580247,16.94915254237288,30.693069306930692
2008,Central,-3.4358047016274864,-10.04524886877828,-19.35483870967742,8.734939759036145,-12.413793103448276,6.582278481012659,-8.590308370044053,0.0,-9.12751677852349,6.809078771695594
2008,Massachusetts,3.5668297707957763,-11.490978157644824,-3.7735849056603774,-1.2626262626262625,6.3559322033898304,3.782287822878229,3.1430934656741107,-0.16194331983805668,15.884115884115884,12.074001947419669
2008,Michigan,-2.6491540516473733,-8.957219251336898,-5.0,-6.597222222222222,1.4184397163120568,-10.444874274661508,-8.617234468937877,-2.8077753779697625,-1.2224938875305624,43.32344213649852
2008,Mid-American,4.147071398033347,-15.629522431259044,10.526315789473683,12.318840579710146,11.790393013100436,5.723905723905724,1.0600706713780919,2.564102564102564,16.08040201005025,51.30890052356021
2008,Minnesota,1.9496910087910175,-3.1578947368421053,-6.493506493506493,5.521472392638037,-1.8320610687022902,6.1253561253561255,1.923979352416706,-0.131521262604121,-0.36939313984168864,10.647482014388489
2008,New England,-0.7584770969660916,-7.287093942054433,128.0,-7.651715039577836,-5.4331864904552125,-0.8121827411167513,-0.7035175879396985,-2.480270574971815,-5.576679340937896,17.417061611374407
2008,New York,5.775333192299556,6.419753086419753,0.0,-8.214285714285714,13.636363636363635,-0.46875,-0.3003003003003003,16.429699842022117,4.5608108108108105,9.105960264900661
2008,Northern Plains,-2.8319405756731664,-3.1026252983293556,4.761904761904762,-2.564102564102564,-11.69811320754717,-1.5479876160990713,-6.521739130434782,-2.3622047244094486,-1.680672268907563,9.405940594059405
2008,Pacific,-2.009198741224885,-2.587380844303223,-16.666666666666664,-28.488372093023255,22.869955156950674,-1.2048192771084338,-6.9164265129683,-6.079027355623101,1.6736401673640167,10.775862068965516
2008,Rocky Mountain,-2.9620563035495717,-2.368951612903226,0.0,13.06532663316583,-10.14851485148515,-15.308641975308642,0.8695652173913043,-7.2607260726072615,-11.538461538461538,30.246913580246915
2008,Southeastern,-4.1344537815126055,-8.530805687203792,45.0,-2.7777777777777777,-2.380952380952381,-7.443365695792881,-13.380281690140844,10.92436974789916,-11.351351351351353,25.174825174825177
2009,Atlantic,0.04103405826836274,12.312312312312311,-29.629629629629626,7.30593607305936,-7.5075075075075075,-1.935483870967742,-9.803921568627452,25.71428571428571,-18.357487922705314,-27.27272727272727
2009,Central,5.447735784814436,20.422535211267608,60.0,2.21606648199446,6.889763779527559,-1.66270783847981,-3.132530120481928,3.6945812807881775,7.533234859675036,0.375
2009,Massachusetts,6.303618052965311,18.240343347639485,7.8431372549019605,13.299232736572892,11.022576361221779,-3.288888888888889,8.580593424218124,5.43390105433901,-1.810344827586207,7.124239791485665
2009,Michigan,1.2805854104733592,9.251101321585903,33.33333333333333,6.319702602230483,3.9627039627039626,-7.127429805615551,-3.7280701754385963,7.777777777777778,-9.653465346534654,-14.285714285714285
2009,Mid-American,4.761904761904762,14.922813036020582,-14.285714285714285,11.612903225806452,3.515625,-12.420382165605096,8.741258741258742,3.571428571428571,13.41991341991342,-6.5743944636678195
2009,Minnesota,4.5846495347050285,10.015527950310558,4.166666666666666,4.3604651162790695,11.19751166407465,3.6241610738255035,6.261510128913445,-0.043898156277436345,-0.3707627118644068,8.84265279583875
2009,New England,0.10490034467256107,7.575757575757576,-7.017543859649122,2.571428571428571,-3.7267080745341614,-8.290685772773797,-0.708502024291498,1.7341040462427744,3.3557046979865772,-0.6054490413723511
2009,New York,5.28,19.37354988399072,75.0,5.447470817120623,-1.7142857142857144,-4.081632653061225,5.421686746987952,-3.7991858887381276,2.4232633279483036,9.863429438543248
2009,Northern Plains,4.777830864787386,14.532019704433496,27.27272727272727,7.236842105263158,8.547008547008547,-9.433962264150944,12.4031007751938,12.096774193548388,-7.264957264957266,-4.97737556561086
2009,Pacific,2.717391304347826,2.6561043802423114,13.333333333333334,32.52032520325203,-4.014598540145985,-3.6585365853658534,3.0959752321981426,0.0,1.646090534979424,6.22568093385214
2009,Rocky Mountain,0.7063572149344097,0.619514713474445,20.408163265306122,17.333333333333336,-10.46831955922865,-7.288629737609329,-2.0114942528735633,11.032028469750891,11.11111111111111,-8.056872037914692
2009,Southeastern,2.1037868162692845,1.8134715025906734,24.137931034482758,-11.904761904761903,7.665505226480835,-6.643356643356643,7.723577235772358,8.333333333333332,21.341463414634145,-16.201117318435752
2010,Atlantic,6.6447908121411,4.81283422459893,68.42105263157895,-7.659574468085106,-3.571428571428571,-2.631578947368421,5.797101449275362,20.075757575757574,13.609467455621301,46.875
2010,Central,8.169195996125282,13.784461152882205,-2.5,-3.2520325203252036,9.392265193370166,-8.091787439613526,10.945273631840797,7.4821852731591445,18.40659340659341,10.709838107098381
2010,Massachusetts,6.4561403508771935,17.695099818511796,18.181818181818183,-2.4830699774266365,0.23923444976076555,5.422794117647059,-3.0280649926144756,5.615384615384615,7.111501316944688,14.922952149229522
2010,Michigan,10.250620907654099,14.045698924731182,17.105263157894736,3.4965034965034967,-8.968609865470851,6.279069767441861,10.478359908883828,11.958762886597938,14.794520547945206,18.59903381642512
2010,Mid-American,11.010971786833856,8.358208955223882,19.444444444444446,2.312138728323699,8.30188679245283,-4.7272727272727275,-3.215434083601286,9.310344827586208,21.755725190839694,48.51851851851852
